Q;I;Di
0.18455;0.1055;0.0054119
0.18498;0.10322;0.0053515
0.18541;0.10972;0.0055275
0.18583;0.1046;0.0054601
0.18626;0.10191;0.0053713
0.18669;0.10535;0.005376
0.18711;0.10088;0.0052876
0.18754;0.11054;0.0057313
0.18797;0.10723;0.005824
0.18839;0.11365;0.0059733
0.18882;0.10785;0.0058488
0.18925;0.097901;0.0056429
0.18967;0.10706;0.0060322
0.1901;0.11046;0.0061844
0.19053;0.098585;0.0058603
0.19095;0.10436;0.0060457
0.19138;0.1017;0.0060349
0.19181;0.097918;0.0060038
0.19224;0.10559;0.0062545
0.19266;0.095407;0.0059864
0.19309;0.10275;0.0062076
0.19352;0.095744;0.006092
0.19394;0.084661;0.0057873
0.19437;0.099802;0.0062621
0.1948;0.085572;0.005836
0.19522;0.096705;0.0063083
0.19565;0.090933;0.0061447
0.19608;0.094426;0.0062673
0.1965;0.092265;0.0062347
0.19693;0.10213;0.0066483
0.19736;0.1001;0.0066005
0.19778;0.093152;0.0064128
0.19821;0.087643;0.0062443
0.19864;0.088155;0.0062808
0.19907;0.088257;0.0064198
0.19949;0.085947;0.0063708
0.19992;0.09265;0.0065844
0.20035;0.093608;0.0066693
0.20077;0.094508;0.0067679
0.2012;0.087791;0.0066175
0.20163;0.090363;0.0067541
0.20205;0.089789;0.0066925
0.20248;0.081882;0.0064937
0.20291;0.089855;0.0068915
0.20333;0.092721;0.0070906
0.20376;0.080604;0.0066033
0.20419;0.082728;0.0066664
0.20461;0.08018;0.006705
0.20504;0.073349;0.0065087
0.20547;0.086018;0.0070706
0.20589;0.083852;0.0070121
0.20632;0.078892;0.0068408
0.20675;0.081512;0.007068
0.20718;0.068775;0.0066488
0.2076;0.085936;0.0073962
0.20803;0.1022;0.0081563
0.20846;0.080636;0.0072707
0.20888;0.077866;0.0074242
0.20931;0.075985;0.0073117
0.20974;0.090075;0.0079307
0.21016;0.082602;0.0077363
0.21059;0.086873;0.008101
0.21102;0.077588;0.0078376
0.21144;0.068832;0.0074658
0.21187;0.085115;0.0083462
0.2123;0.067404;0.0075836
0.21272;0.076028;0.0082954
0.21315;0.075168;0.0085111
0.21358;0.081793;0.0087692
0.21401;0.085375;0.0092063
0.21443;0.07466;0.0088605
0.21486;0.075808;0.0092614
0.21529;0.064186;0.008901
0.21571;0.068345;0.0093879
0.21614;0.075089;0.010218
0.21657;0.072234;0.01065
0.21699;0.060606;0.010394
0.21742;0.070391;0.012072
0.21785;0.054638;0.012217
0.21827;0.098565;0.022612
0.2187;NaN;NaN
0.21913;NaN;NaN
0.21955;NaN;NaN
0.21998;NaN;NaN
0.22041;NaN;NaN
0.22083;NaN;NaN
0.22126;NaN;NaN
0.22169;NaN;NaN
0.22212;NaN;NaN
0.22254;NaN;NaN
0.22297;NaN;NaN
0.2234;NaN;NaN
0.22382;NaN;NaN
0.22425;NaN;NaN
0.22468;NaN;NaN
0.2251;NaN;NaN
0.22553;NaN;NaN
0.22596;NaN;NaN
0.22638;NaN;NaN
0.22681;NaN;NaN
0.22724;NaN;NaN
0.22766;NaN;NaN
0.22809;NaN;NaN
0.22852;NaN;NaN
0.22894;NaN;NaN
0.22937;NaN;NaN
0.2298;NaN;NaN
0.23023;NaN;NaN
0.23065;NaN;NaN
0.23108;NaN;NaN
0.23151;NaN;NaN
0.23193;NaN;NaN
0.23236;NaN;NaN
0.23279;NaN;NaN
0.23321;NaN;NaN
